FID,Region,long_X,Lat_Y,District,2017,2021,2024,tot_poll_stations_2024
1,Awdal,43.47282,11.35455,Saylac,14553,23307,25860,25
2,Awdal,43.94053,10.68326,Lughaya,11823,14963,17663,24
3,Awdal,43.18335,9.92893,Borama,64160,89126,117390,67
4,Awdal,43.48869,10.26689,Baki,12035,18523,21068,37
5,Maroodi-Jeex,43.62551,9.70231,Gabiley,46143,76478,88520,70
6,Maroodi-Jeex,44.06678,9.55975,Hargeysa,179328,289613,370432,230
7,Maroodi-Jeex,44.008,9,Bali-Gubadle,11623,17752,21178,24
8,Maroodi-Jeex,44.207,9.026,Salaxley,12135,16536,17604,21
9,Saaxil,45.0114,10.43872,Berbera,47740,83034,74540,63
10,Saaxil,45.19133,9.92994,Sheekh,13077,15469,18080,27
11,Togdheer,45.53747,9.52749,Burco,118411,160390,183354,141
12,Togdheer,45.06171,9.40858,Oodweyne,21155,33044,38873,46
13,Togdheer,46.31713,8.25135,Buuhoodle,7874,12157,14052,22
14,Sool,46.41249,8.95755,Caynabo,30251,36446,35565,33
15,Sool,47.35613,8.47645,Laas-Caanood,23022,52788,48861,109
16,Sool,47.47722,9.15444,Xudun,5302,6909,7472,33
17,Sool,48.42087,9.14875,Taleex,5123,7689,7068,27
18,Sanaag,46.866,9.487,Gar-adag,12356,14673,16547,20
19,Sanaag,47.21678,9.93027,Ceel-Afwayn,17945,20517,21224,33
20,Sanaag,47.36847,10.62035,Ceerigaabo,45798,65962,71562,109
21,Sanaag,48.337,10.714,Badhan,4235,7529,7386,24
22,Sanaag,48.82,9.748,Dhahar,,2942,2929,25
,Sanaag,,,Laasqoray,,,,25
